NAME,LINK,DESCRIPTION,ChatGPT_RQ1,Priority,Final_Result,Rationale
validate_cluster.sh should auto-detect DOCKER_ARCH,https://issues.apache.org/jira/browse/YUNIKORN-1308,"By default, the script validate_cluster.sh does not detect/set DOCKER_ARCH. This can result in the following problem:

Creating kind validation cluster
Apache YuniKorn version: 1.1.0
Helm chart directory: ./helm-charts/yunikorn
Kind cluster config: ./kind.yaml
Kubernetes image: kindest/node:v1.22.4
Registry name: apache
Plugin mode: false
Image Architecture: 
Creating cluster ""yk8s"" ...
_ Ensuring node image (kindest/node:v1.22.4) __
_ Preparing nodes __ __ __ 
_ Writing configuration __ 
_ Starting control-plane ___ 
_ Installing CNI __ 
_ Installing StorageClass __ 
_ Joining worker nodes __ 
Set kubectl context to ""kind-yk8s""
You can now use your cluster with:

kubectl cluster-info --context kind-yk8s

Not sure what to do next? __ Check out https://kind.sigs.k8s.io/docs/user/quick-start/

Pre-Loading docker images...

Pre-Loading admission--1.1.0 image failed, aborting
Removing kind cluster
Deleting cluster ""yk8s"" ...
After setting DOCKER_ARCH to amd64, the problem disappeared.","B: By default, the script validate_cluster.sh does not detect/set DOCKER_ARCH.  
B: Pre-loading admission--1.1.0 image fails if DOCKER_ARCH is not set correctly.  
B: After setting DOCKER_ARCH to amd64, the problem of pre-loading admission--1.1.0 image disappears.",Major,TRUE,
"Liberal ""babel"" parser that accepts all SQL dialects",https://issues.apache.org/jira/browse/CALCITE-2280,"Create a parser that accepts all SQL dialects.

It would accept common dialects such as Oracle, MySQL, PostgreSQL, BigQuery. If you have preferred dialects, please let us know in the comments section. (If you're willing to work on a particular dialect, even better!)

We would do this in a new module, inheriting and extending the parser in the same way that the DDL parser in the ""server"" module does.

This would be a messy and difficult project, because we would have to comply with the rules of each parser (and its set of built-in functions) rather than writing the rules as we would like them to be. That's why I would keep it out of the core parser. But it would also have large benefits.

This would be new territory Calcite: as a tool for manipulating/understanding SQL, not (necessarily) for relational algebra or execution.

Some possible uses:

analyze query lineage (what tables and columns are used in a query);
translate from one SQL dialect to another (using the JDBC adapter to generate SQL in the target dialect);
a ""deep"" compatibility mode (much more comprehensive than the current compatibility mode) where Calcite could pretend to be, say, Oracle;
SQL parser as a service: a REST call gives a SQL query, and returns a JSON or XML document with the parse tree.
If you can think of interesting uses, please discuss in the comments.

There are similarities with Uber's QueryParser tool. Maybe we can collaborate, or make use of their test cases.

We will need a lot of sample queries. If you are able to contribute sample queries for particular dialects, please discuss in the comments section. It would be good if the sample queries are based on a familiar schema (e.g. scott or foodmart) but we can be flexible about this.","B: Create a parser that accepts the Oracle SQL dialect.

B: Create a parser that accepts the MySQL SQL dialect.

B: Create a parser that accepts the PostgreSQL SQL dialect.

B: Create a parser that accepts the BigQuery SQL dialect.

B: Develop a new module that inherits and extends the parser in the same way that the DDL parser in the ""server"" module does.

B: Analyze query lineage to determine what tables and columns are used in a query.

B: Implement a feature to translate SQL queries from one dialect to another using the JDBC adapter.

B: Develop a ""deep"" compatibility mode that allows Calcite to mimic the behavior of a specific SQL dialect, such as Oracle.

B: Create a SQL parser as a service that accepts a SQL query and returns a JSON or XML document with the parse tree.

B: Gather sample queries for different SQL dialects based on familiar schemas, such as scott or foodmart.",Major,FALSE,Over-decomposition
Wrong sort elimination when using permuted join order,https://issues.apache.org/jira/browse/DERBY-6148,"I have a query that looks like this: 

SELECT tests.id,tests.item,title FROM tests,item_usage 
WHERE username=? AND user_role>? 
AND item_usage.item=tests.item 
ORDER BY tests.item,title 

The result ordering is by item code followed by title, but the item codes are listed in the order in which they appear in the ITEMS table where they are the primary key rather than in ascending order as expected. If however I change the ORDER BY clause to sort by item_usage.item rather than tests.item, it works correctly, even though the two values are the same! 

The same thing happens in another unrelated query involving item_usage, and the same workaround cures it. 

The relevant tables are defined like so: 

CREATE TABLE item_usage ( 
username VARCHAR(15) NOT NULL, 
item VARCHAR(15) NOT NULL, 
value SMALLINT DEFAULT 0, 
CONSTRAINT item_usage_pk PRIMARY KEY (username,item), 
CONSTRAINT item_usage_1 FOREIGN KEY (username) 
REFERENCES users(username) 
ON DELETE CASCADE, 
CONSTRAINT item_usage_2 FOREIGN KEY (item) 
REFERENCES items(item) 
ON DELETE CASCADE, 
CONSTRAINT item_usage_3 CHECK (value BETWEEN 0 AND 4) 
); 

CREATE TABLE tests ( 
id INTEGER GENERATED ALWAYS AS IDENTITY, 
item VARCHAR(15) NOT NULL, 
title VARCHAR(255) NOT NULL, 
disp SMALLINT NOT NULL DEFAULT 0, 
starttime TIMESTAMP DEFAULT NULL, 
endtime TIMESTAMP DEFAULT NULL, 
offsetx INTEGER NOT NULL DEFAULT 0, 
offsety INTEGER NOT NULL DEFAULT 0, 
rate INTEGER NOT NULL DEFAULT 0, 
duration INTEGER NOT NULL DEFAULT 0, 
calibrate INTEGER NOT NULL DEFAULT 0, 
deadline TIMESTAMP DEFAULT NULL, 
stepsize INTEGER NOT NULL DEFAULT 0, 
interval INTEGER NOT NULL DEFAULT 0, 
stand CHAR(1) DEFAULT NULL, 
hidden CHAR(1) DEFAULT NULL, 
repeated CHAR(1) DEFAULT NULL, 
private CHAR(1) DEFAULT NULL, 
sequential CHAR(1) DEFAULT NULL, 
final CHAR(1) DEFAULT NULL, 
notes CLOB DEFAULT NULL, 
testxml CLOB NOT NULL, 
author VARCHAR(15) NOT NULL, 
time TIMESTAMP NOT NULL, 
CONSTRAINT tests_pk PRIMARY KEY (id), 
CONSTRAINT tests_1 UNIQUE (item, title), 
CONSTRAINT tests_2 FOREIGN KEY (item) 
REFERENCES items(item) 
ON DELETE CASCADE, 
CONSTRAINT tests_3 CHECK (disp BETWEEN 0 AND 100), 
CONSTRAINT tests_4 CHECK (rate BETWEEN 0 AND 100), 
CONSTRAINT tests_5 CHECK (stepsize BETWEEN 0 AND 100) 
); 

If I run the query manually I get this, as expected: 

ID ITEM TITLE 
37 60001 Test 1 
42 60001 Test 2 
51 60001 Test 3 
17 61303 Test 2a 
16 61303 Test 2b 
7 7205731 Test 2a 
8 7205731 Test 2b 

Now, this is actually part of a web app that should turn this into a list of options in a <select> item using the following code: 

while (query.next()) 

{ println(""<option value='"" + query.getInt(""id"") + ""'>"" + encode(query.getString(""item"") + "": "" + query.getString(""title"")) + ""</option>""); } 
What I actually get is this: 

<option value=""17"">61303: Test 2a</option> 
<option value=""16"">61303: Test 2b</option> 
<option value=""7"">7205731: Test 2a</option> 
<option value=""8"">7205731: Test 2b</option> 
<option value=""37"">60001: Test 1</option> 
<option value=""42"">60001: Test 2</option> 
<option value=""51"">60001: Test 3</option> 

The results are sorted by item then by title, but the item order is the order in which they were originally inserted into the items table (where the item and item description are stored, referenced by item_usage.item) rather than by item code. 

I've tried to reproduce this behaviour in a simple example, but without success. I have logged the query plans for both versions; the log output is as follows, with the INCORRECT query (using ORDER BY tests.item) followed later by the CORRECT query (using ORDER BY item_usage.item): 

(moved queryplans to attachment; see attachment queryplans.txt -dagw)","B: The query returns results ordered by the item codes in the order they appear in the ITEMS table rather than in ascending order.

B: Changing the ORDER BY clause to sort by item_usage.item results in correct ordering, even though the values are the same.

B: The same incorrect ordering occurs in another unrelated query involving item_usage.

B: The web application does not display the results in the expected order when generating options for a <select> item.

B: The expected output of the query is not matching the actual output generated by the web application.

B: The query plans for both versions of the query log the differences between the correct and incorrect ordering behavior.",Major,FALSE,Over-analysis
Remove dependency on cloudflare CDN,https://issues.apache.org/jira/browse/TINKERPOP-2775,"As per ASF privacy policy [1], we should not host JS or CSS files on CDNs such as Cloudflare instead, we should opt to host the Fonts/JS/CSS locally on the Apache server. 

We have multiple instances [2] where we are downloading scripts from cloudflare. This task should remove this dependency and host the files locally. 

[1] https://privacy.apache.org/faq/committers.html 
[2] Instances of Fonts/JS/CSS downloaded from CDN (not exhaustive): https://github.com/apache/tinkerpop/blob/master/docs/site/home/index.html#L26 
https://github.com/apache/tinkerpop/blob/master/docs/site/home/index.html#L951","B: Remove the dependency on Cloudflare for hosting JS files and host them locally on the Apache server.  
B: Remove the dependency on Cloudflare for hosting CSS files and host them locally on the Apache server.  
B: Remove the dependency on Cloudflare for hosting Fonts and host them locally on the Apache server.",Major,FALSE,Lacking key information
Fix website issues,https://issues.apache.org/jira/browse/UNOMI-843,"There are multiple issues on the website: 

Embedded YouTube videos can't work anymore due to server Content-Server-Policy changes, we must replace them with links or use the technique described here : https://privacy.apache.org/faq/committers.html 
Google Analytics tag is old, should be replaced with more recent one. Actually it might be better to replace it with Matomo, see https://privacy.apache.org/faq/committers.html (even better would be Unomi in the future ) 
Some links use HTTP instead of HTTPS 
Fix all the issues reported by Apache's web checker: https://whimsy.apache.org/site/project/unomi 
Add the monthly meeting information to the contribute page with the following information (and ideally a calendar link) : https://lists.apache.org/thread/70oo862br3d4g7j8dvnyy3o4z1p0ozfq","B: Embedded YouTube videos can't work anymore due to server Content-Server-Policy changes; we must replace them with links or use the technique described here: https://privacy.apache.org/faq/committers.html.

B: Google Analytics tag is old and should be replaced with a more recent one; it might be better to replace it with Matomo, see https://privacy.apache.org/faq/committers.html.

B: Some links use HTTP instead of HTTPS.

B: Fix all the issues reported by Apache's web checker: https://whimsy.apache.org/site/project/unomi.

B: Add the monthly meeting information to the contribute page with the following information (and ideally a calendar link): https://lists.apache.org/thread/70oo862br3d4g7j8dvnyy3o4z1p0ozfq.",Major,TRUE,
Broken links on RAT's webpage - mailing-lists / prepare webpage for releasing 0.16.1,https://issues.apache.org/jira/browse/RAT-353,"The current webpage at 
https://creadur.apache.org/rat/ 
links to mail-lists.html, which should be 
https://creadur.apache.org/rat/mailing-lists.html 

Check for other dead links and fix them appropriately. 

Further analysis via 
{{$ linkchecker https://creadur.apache.org/rat/ -F text/UTF-8/rat-linkchecker.txt 
}} showed 108 errors on the current RAT webpage.","B: The current webpage at https://creadur.apache.org/rat/ links to mail-lists.html, which should be https://creadur.apache.org/rat/mailing-lists.html.

B: Check for other dead links on the current RAT webpage.

B: Fix the dead links found on the current RAT webpage.

B: Further analysis via {{$ linkchecker https://creadur.apache.org/rat/ -F text/UTF-8/rat-linkchecker.txt }} showed 108 errors on the current RAT webpage.",Major,FALSE,Over-decomposition
bin/solr script doesn't do ps properly on some systems,https://issues.apache.org/jira/browse/SOLR-17112,"On Google's colab, the following fails: 

!wget https://dlcdn.apache.org/solr/solr/9.4.0/solr-9.4.0.tgz && tar -xf solr-9.4.0.tgz && cd solr-9.4.0 && echo `pwd` 

!apt update && apt install bc -y && cd solr-9.4.0 && bin/solr stop -p 8983; bin/solr -c -force -Denable.packages=true 

!cd solr-9.4.0 && bin/solr package add-repo data-import-handler ""https://raw.githubusercontent.com/searchscale/dataimporthandler/master/repo/"" 
If I add the following before the last line, it works: 

!cat solr-9.4.0/bin/solr|sed -e 's:ps -f -p:ps -fww -p:g' > tmp; cp tmp solr-9.4.0/bin/solr; chmod +x solr-9.4.0/bin/solr 
I think that extra ""ww"" is needed to make sure Solr works fine on all systems. FYI dep4b.","B: On Google's colab, the command `!wget https://dlcdn.apache.org/solr/solr/9.4.0/solr-9.4.0.tgz && tar -xf solr-9.4.0.tgz && cd solr-9.4.0 && echo `pwd`` fails.

B: The command `!apt update && apt install bc -y && cd solr-9.4.0 && bin/solr stop -p 8983; bin/solr -c -force -Denable.packages=true` fails.

B: The command `!cd solr-9.4.0 && bin/solr package add-repo data-import-handler ""https://raw.githubusercontent.com/searchscale/dataimporthandler/master/repo/""` fails without modification.

B: Adding the command `!cat solr-9.4.0/bin/solr|sed -e 's:ps -f -p:ps -fww -p:g' > tmp; cp tmp solr-9.4.0/bin/solr; chmod +x solr-9.4.0/bin/solr` before the last line makes it work.

B: The extra ""ww"" in the `sed` command is needed to ensure Solr works fine on all systems.",Major,FALSE,Over-analysis
[pdmodel.font.PDFont] Error: Could not parse predefined CMAP file for 'PDFXC-Indentity0-0',https://issues.apache.org/jira/browse/PDFBOX-940,"Hi, 

when i am trying to upload a pdf document the following error is thrown in the tomcat.. i am using pdfbox-1.4.0.jar.. 

17:29:33,465 ERROR [pdmodel.font.PDFont] Error: Could not parse predefined CMAP file for 'PDFXC-Indentity0-0' 

please find the solution","B: Error thrown when trying to upload a PDF document in Tomcat.  
B: Issue with parsing predefined CMAP file for 'PDFXC-Indentity0-0' when using pdfbox-1.4.0.jar.",Major,FALSE,Over-decomposition
RPC Sasl QOP is broken,https://issues.apache.org/jira/browse/HADOOP-9816,HADOOP-9421 broke the handling of SASL wrapping for RPC QOP integrity and privacy options.,"B: HADOOP-9421 broke the handling of SASL wrapping for RPC QOP integrity options.  
B: HADOOP-9421 broke the handling of SASL wrapping for RPC QOP privacy options.",Blocker,TRUE,
cordova-plugin-geolocation should reverse permissions request in ios8,https://issues.apache.org/jira/browse/CB-8826,"I would like to suggest a change to how the geolocation plugin requests 
permissions in iOS8. In the event that both iOS8 NSLocation usage 
permissions exist, I suggest that we first request the least permissive one 
(NSLocationWhenInUseUsageDescription). 

This should amount to simply reversing the logic in CDVLocation.m: 

if([[NSBundle mainBundle] 
objectForInfoDictionaryKey:@""NSLocationWhenInUseUsageDescription""]) 
{ 
[self.locationManager requestWhenInUseAuthorization]; 
} else if([[NSBundle mainBundle] objectForInfoDictionaryKey:@ 
""NSLocationAlwaysUsageDescription""]) { 
[self.locationManager requestAlwaysAuthorization]; 
} 
I have a use case where an app launches with both descriptions set, but 
depending on client configuration the ""AlwaysInUse"" permission may not be necessary. As the logic is written now, the plugin will always request that one, which could look a bit extreme to the end user.","B: Suggest a change to how the geolocation plugin requests permissions in iOS8 by reversing the logic to first request the least permissive permission (NSLocationWhenInUseUsageDescription).

B: Modify the logic in CDVLocation.m to first check for NSLocationWhenInUseUsageDescription before checking for NSLocationAlwaysUsageDescription.

B: Create a use case where an app launches with both NSLocation usage descriptions set and demonstrate that the ""AlwaysInUse"" permission may not be necessary depending on client configuration. 

B: Ensure that the updated permission request logic does not always request the more permissive ""AlwaysInUse"" permission to avoid appearing extreme to the end user.",Minor,FALSE,Over-decomposition
TextPosition.getHeight() returns erroneous value for some PDFs,https://issues.apache.org/jira/browse/PDFBOX-1001,"For a PDF that worked fine under 1.2.1 the height value returned is negative and the wrong value (i.e. using Math.abs() won't fix it). Other PDFs work fine. 
PDF Debug shows ""Creator:Crystal Reports"" and ""Producer:PDF-XChange (XCPRO30.DLL v3.30.0064) (Windows 2k)"" 
And when examining the 'Stream' items, the text is not what displays. 

Any suggestions on what to look for so that I can do differential analysis against other PDFs to see what they do/not have in common with this one? 
(It's client data so I can't post the PDF. ) 

It's stopping us from moving off 1.2.1 (and later versions fix another issue we have of seeing question marks instead of the actual characters).","B: The height value returned for a specific PDF is negative and incorrect, and using Math.abs() does not resolve the issue.

B: Other PDFs work fine, indicating that the issue is isolated to this specific PDF.

B: PDF Debug shows the creator as ""Crystal Reports"" and the producer as ""PDF-XChange (XCPRO30.DLL v3.30.0064) (Windows 2k)"".

B: The 'Stream' items in the PDF do not display the text as expected.

B: Suggestions are needed for conducting differential analysis against other PDFs to identify differences or commonalities with the problematic PDF.

B: The issue is preventing the transition from version 1.2.1 to later versions, which resolve a separate issue related to character display.",Major,FALSE,Over-decomposition
Getting image with black background when converting from PDF to Image!!,https://issues.apache.org/jira/browse/PDFBOX-1023,"Everytime I try to conver a PDF file with a graphic on it, to Image (PNG) I get a black background beneath the graphic, where the background is white originally, here's my code: 

PDDocument document = PDDocument.load(new File(""C:\\export_settings 
testReport.pdf"")); 
List<PDPage> pages = document.getDocumentCatalog().getAllPages(); 

for (int i = 0; i < pages.size(); i++) 

{ PDPage singlePage = pages.get(i); BufferedImage buffImage = singlePage.convertToImage(); ImageIO.write(buffImage, ""PNG"", new File(""C:\\export_settings\\page"" + i + "".png"")); } 
The image quality is good, except for this, I tried with two different methos but I got the same result, please help me, thanks!","B: Every time I try to convert a PDF file with a graphic on it to an Image (PNG), I get a black background beneath the graphic, where the background is white originally. 

B: The code I am using is as follows: 
PDDocument document = PDDocument.load(new File(""C:\\export_settings testReport.pdf"")); 
List<PDPage> pages = document.getDocumentCatalog().getAllPages(); 
for (int i = 0; i < pages.size(); i++) { 
    PDPage singlePage = pages.get(i); 
    BufferedImage buffImage = singlePage.convertToImage(); 
    ImageIO.write(buffImage, ""PNG"", new File(""C:\\export_settings\\page"" + i + "".png"")); 
}

B: The image quality is good, except for the black background issue.

B: I tried using two different methods to convert the PDF to PNG but got the same result.",Major,FALSE,Over-decomposition
Copyright Notice of Website outdated,https://issues.apache.org/jira/browse/DIR-240,"Although in 2009, the Copyright notice on our website is still 

 2003-2008, The Apache Software Foundation - Privacy Policy 

For instance here (footer) 
http://directory.apache.org/ 

The templates need an update (unfortunately, I do not know how to accomplish this)","B: Update the copyright notice on the website footer from 2003-2008 to the current year.  
B: Update the templates used on the website to reflect the new copyright notice.  
B: Provide documentation or instructions on how to update the website templates.",Major,FALSE,Over-decomposition
Wire encryption is broken,https://issues.apache.org/jira/browse/HBASE-11149,"Upon some testing with the QOP configuration (hbase.rpc.protection), discovered that RPC doesn't work with ""integrity"" and ""privacy"" values for the configuration key. I was using 0.98.x for testing but I believe the issue is there in trunk as well (haven't checked 0.96 and 0.94).","B: RPC does not function with the ""integrity"" value for the hbase.rpc.protection configuration key.  
B: RPC does not function with the ""privacy"" value for the hbase.rpc.protection configuration key.  
B: The issue with hbase.rpc.protection may be present in the trunk version of the software.  
B: The issue with hbase.rpc.protection has not been verified in versions 0.96 and 0.94.",Major,FALSE,Over-decomposition
Classpath in XML report is wrong,https://issues.apache.org/jira/browse/SUREFIRE-164,"The XML report contains in the property java.class.path Maven's classpath, but not the class path used to execute the tests.","B: The XML report contains the property java.class.path Maven's classpath.  
B: The XML report does not contain the class path used to execute the tests.",Minor,FALSE,Over-decomposition
Added restriction to historic queries on web UI,https://issues.apache.org/jira/browse/HIVE-17701,"The HiveServer2 Web UI (HIVE-12550) shows recently completed queries. 
However, a user can see the queries run by other users as well, and that is a security/privacy concern. 
Only admin users should be allowed to see queries from other users (similar to behavior of display for configs, stack trace etc).","B: The HiveServer2 Web UI shows recently completed queries run by other users, which is a security/privacy concern. 

B: Only admin users should be allowed to see queries from other users in the HiveServer2 Web UI. 

B: The behavior of displaying queries from other users should be similar to the display for configs, stack trace, etc.",Major,FALSE,Over-decomposition
Cannot ship code hints without also shipping file-system paths,https://issues.apache.org/jira/browse/FLEX-23026,"For privacy reasons, developers need a way to ship code hints in .swc files without also shipping file-system paths. A new compiler option should be added, perhaps: -exclude-file-paths. 

Currently, file paths can only be disabled by setting debug=false, but that results in no hints and no paths.","B: A new compiler option should be added to allow developers to ship code hints in .swc files without file-system paths. 

B: The new compiler option should be named -exclude-file-paths.

B: Currently, file paths can only be disabled by setting debug=false, which disables all hints and paths.",Major,FALSE,Over-decomposition
Long rendering time,https://issues.apache.org/jira/browse/PDFBOX-3791,"Attached pdf file takes too long (more then 9 secs) to render in PDFDebugger (this is a simplified version of a real life pdf that I can not publish for privacy reasons, it takes 57 seconds to render and it contains 56 images and some text). 

I have tried with the options provided in https://pdfbox.apache.org/2.0/getting-started.html but performance is the same","B: Attached pdf file takes too long (more than 9 secs) to render in PDFDebugger. 

B: The attached pdf file takes 57 seconds to render and contains 56 images and some text.

B: Performance remains the same despite trying the options provided in https://pdfbox.apache.org/2.0/getting-started.html.",Major,FALSE,Over-decomposition
Security: passwords logging and file permisions,https://issues.apache.org/jira/browse/DRILL-6189,"Prerequisites: 
1. Log level is set to ""all"" in the conf/logback.xml: 

<logger name=""org.apache.drill"" additivity=""false""> 
<level value=""all"" /> 
<appender-ref ref=""FILE"" /> 
</logger> 
2. PLAIN authentication mechanism is configured: 

security.user.auth: { 
enabled: true, 
packages += ""org.apache.drill.exec.rpc.user.security"", 
impl: ""pam"", 
pam_profiles: [ ""sudo"", ""login"" ] 
} 
Steps: 
1. Start the drillbits 
2. Connect by sqlline: 

/opt/mapr/drill/drill-1.13.0/bin/sqlline -u ""jdbc:drill:zk=node1:5181;"" -n user1 -p 1111 
Expected result: Logs shouldn't contain clear-text passwords 

Actual results: During the drillbit startup or establishing connections via the jdbc or odbc, the following lines appear in the drillbit.log: 

properties { 
key: ""password"" 
value: ""1111"" 
} 
Same thing happens with storage configuration data, everything, including passwords is being logged to file. 

Another issue: 

Currently Drill config files has the permissions 0644: 

-rw-r--r--. 1 mapr mapr 1081 Nov 16 14:42 core-site-example.xml 
-rwxr-xr-x. 1 mapr mapr 1807 Dec 19 11:55 distrib-env.sh 
-rw-r--r--. 1 mapr mapr 1424 Nov 16 14:42 distrib-env.sh.prejmx 
-rw-r--r--. 1 mapr mapr 1942 Nov 16 14:42 drill-am-log.xml 
-rw-r--r--. 1 mapr mapr 1279 Dec 19 11:55 drill-distrib.conf 
-rw-r--r--. 1 mapr mapr 117 Nov 16 14:50 drill-distrib-mem-qs.conf 
-rw-r--r--. 1 mapr mapr 6016 Nov 16 14:42 drill-env.sh 
-rw-r--r--. 1 mapr mapr 1855 Nov 16 14:50 drill-on-yarn.conf 
-rw-r--r--. 1 mapr mapr 6913 Nov 16 14:42 drill-on-yarn-example.conf 
-rw-r--r--. 1 mapr mapr 1135 Dec 19 11:55 drill-override.conf 
-rw-r--r--. 1 mapr mapr 7820 Nov 16 14:42 drill-override-example.conf 
-rw-r--r--. 1 mapr mapr 3136 Nov 16 14:42 logback.xml 
-rw-r--r--. 1 mapr mapr 668 Nov 16 14:51 warden.drill-bits.conf 
-rw-r--r--. 1 mapr mapr 1581 Nov 16 14:42 yarn-client-log.xml 
As they may contain some sensitive information, like passwords or secret keys, they cannot be viewable to everyone. So I suggest to reduce the permissions at least to 0640.","B: Logs should not contain clear-text passwords during drillbit startup or when establishing connections via JDBC or ODBC. 

B: Sensitive information, including passwords, is being logged to the drillbit.log file.

B: Drill configuration files have permissions set to 0644 and should be reduced to at least 0640 to prevent unauthorized access to sensitive information.",Major,FALSE,Over-decomposition
Facebook Like iframe too narrow when in topbar,https://issues.apache.org/jira/browse/MSKINS-92,"See Apache Syncope website at http://syncope.apache.org 

On the top right you can see the Facebook Like button rendered by 

<iframe src=""http://www.facebook.com/plugins/like.php?href=http://syncope.apache.org/&send=false&layout=button_count&show-faces=false&action=like&colorscheme=dark"" 
scrolling=""no"" frameborder=""0"" 
style=""border:none; width:80px; height:20px; margin-top: 10px;"" class=""pull-right"" ></iframe> 
when changing style to 

""border:none; width:100px; height:20px; margin-top: 10px;"" 
the right-side box is rendered correctly.","B: The Facebook Like button iframe is not displaying correctly on the Apache Syncope website. 

B: The style of the Facebook Like button iframe should be changed to ""border:none; width:100px; height:20px; margin-top: 10px;"" for proper rendering.",Minor,FALSE,Incorrect Interpretation of Solutions
UUID replacement,https://issues.apache.org/jira/browse/CB-49,"reported at: https://github.com/phonegap/phonegap-iphone/issues/238 
by: https://github.com/sandstrom 

As you might have read iOS 5 will remove the UDID (http://techcrunch.com/2011/08/19/apple-ios-5-phasing-out-udid/). 

This is an excellent alternative and it would be nice if you would implement something along these lines to keep the functionality. The idea of hashing together with the bundle id is great, because it makes it impossible to track across applications, which is what apple wanted to fix (although it can be circumvented that would only anger them, and tracking across apps isn't required for most apps anyway). 

https://github.com/gekitz/UIDevice-with-UniqueIdentifier-for-iOS-5","B: iOS 5 will remove the UDID, which needs to be addressed in the application.  
B: Implement an alternative to UDID that maintains functionality while complying with iOS 5 guidelines.  
B: Explore the idea of using a hash combined with the bundle ID to prevent tracking across applications.  
B: Ensure that the solution does not allow for circumventing Apple's restrictions on tracking.  
B: Assess the necessity of tracking across apps for the application's functionality.",Blocker,FALSE,Over-decomposition
Skip whitespaces when resolving a XRef,https://issues.apache.org/jira/browse/PDFBOX-1737,"Oleg Krechowetzki reported an issue with the non sequential parser via private mail. He provided a working solution and a test pdf which can't be attached due to privacy reasons. 

The following exception occurs when parsing the pdf in question using the non sequential parser: 

Caused by: java.io.IOException: Error: Expected a long type, actual='xref' 
at org.apache.pdfbox.pdfparser.BaseParser.readLong(BaseParser.java:1668) 
at org.apache.pdfbox.pdfparser.BaseParser.readObjectNumber(BaseParser.java:1598) 
at org.apache.pdfbox.pdfparser.NonSequentialPDFParser.parseXrefObjStream(NonSequentialPDFParser.java:458)","B: Oleg Krechowetzki reported an issue with the non sequential parser via private mail. 

B: The provided test pdf cannot be attached due to privacy reasons. 

B: An exception occurs when parsing the pdf in question using the non sequential parser.

B: The exception is a java.io.IOException with the message: ""Error: Expected a long type, actual='xref'"".

B: The exception originates from the method org.apache.pdfbox.pdfparser.BaseParser.readLong(BaseParser.java:1668).

B: The exception is also related to the method org.apache.pdfbox.pdfparser.BaseParser.readObjectNumber(BaseParser.java:1598).

B: The exception is triggered in the method org.apache.pdfbox.pdfparser.NonSequentialPDFParser.parseXrefObjStream(NonSequentialPDFParser.java:458).",Major,FALSE,Over-analysis
iOS 11 Error When Taking Picture Missing NSPhotoLibraryAddUsageDescription,https://issues.apache.org/jira/browse/CB-13332,"I am using this plugin to take a picture, but in iOS11 I receive the following error: 

* 
This app has crashed because it attempted to access privacy-sensitive data without a usage description. The app's Info.plist must contain an NSPhotoLibraryAddUsageDescription key with a string value explaining to the user how the app uses this data.* 

Note: I have descriptions for CAMERA_USAGE_DESCRIPTION and PHOTOLIBRARY_USAGE_DESCRIPTION. I was able to take a picture in iOS 10.","B: This app has crashed because it attempted to access privacy-sensitive data without a usage description. The app's Info.plist must contain an NSPhotoLibraryAddUsageDescription key with a string value explaining to the user how the app uses this data.

B: The app is missing the NSPhotoLibraryAddUsageDescription key in its Info.plist file. 

B: The app successfully took a picture in iOS 10, indicating the issue is specific to iOS 11. 

B: There are existing descriptions for CAMERA_USAGE_DESCRIPTION and PHOTOLIBRARY_USAGE_DESCRIPTION that need to be reviewed for completeness in iOS 11.",Trivial,FALSE,Over-decomposition
Tighten HFileLink api to enable non-snapshot uses,https://issues.apache.org/jira/browse/HBASE-12749,"In HBASE-12332 we'd like to use the FileLink's IO redirecting powers but want to be able to specify arbitrary alternate link paths and not be tied to the SnapshotFileLink file pattern (aka, table=region-hfile). 

To do this we need change the constructors and some internals so that it is more generic. Along the way, we remove the FileStatus constructor arguments in favor of Path's and reduce the number of ways to create HFileLinks, and tighten up the scope privacy of many methods.","B: In HBASE-12332, we need to change the constructors of FileLink to allow specifying arbitrary alternate link paths instead of being tied to the SnapshotFileLink file pattern.

B: We need to modify the internals of FileLink to make it more generic for different link path specifications.

B: We need to remove the FileStatus constructor arguments in FileLink and replace them with Path's.

B: We need to reduce the number of ways to create HFileLinks to simplify the process.

B: We need to tighten up the scope privacy of many methods in FileLink.",Major,FALSE,Over-decomposition
"PDA renderers for tr:page, tr:panelPage and tr:panelPageHeader need to render facets more in line with desktop counterparts",https://issues.apache.org/jira/browse/TRINIDAD-1303,"PDA renderers for tr:page, tr:panelPage and tr:panelPageHeader support different sets of facets and render supported facets at different positions. This makes difficult to develop mobile applications.","B: PDA renderers for tr:page support a different set of facets compared to tr:panelPage and tr:panelPageHeader.  

B: PDA renderers for tr:panelPage support a different set of facets compared to tr:page and tr:panelPageHeader.  

B: PDA renderers for tr:panelPageHeader support a different set of facets compared to tr:page and tr:panelPage.  

B: PDA renderers for tr:page, tr:panelPage, and tr:panelPageHeader render supported facets at different positions.  

B: The inconsistency in facets and their positions in PDA renderers makes it difficult to develop mobile applications.",Minor,FALSE,Over-decomposition
